T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T2: 1 49, 3 16, 5 18, 7 24, 9 6, 12 18, 13 7, 15 24, 17 30, 19 27, 21 6, 23 5, 25 5, 27 16, 29 40, 31 15, 34 18, 36 6, 38 5, 40 99, 42 7, 44 10, 46 8, 48 28, 50 40, 52 54, 54 10, 56 4, 58 4, 60 20, 62 7, 64 28, 66 32, 68 35, 70 8, 72 18, 74 8
T3: 1 14, 3 12, 5 21, 7 15, 9 4, 12 20, 13 3, 16 18, 17 15, 19 9, 21 2, 23 25, 25 7, 27 6, 29 40, 31 21, 34 48, 36 6, 38 7, 40 77, 42 8, 44 3, 46 2, 48 35, 50 15, 52 6, 54 2, 56 12, 58 1, 60 16, 62 4, 64 4, 66 16, 68 42, 70 14, 72 48, 74 9
T4: 1 70, 3 20, 5 24, 7 24, 9 12, 11 15, 13 8, 15 27, 17 27, 20 6, 21 2, 23 25, 25 8, 27 6, 29 8, 31 18, 34 48, 36 4, 38 8, 40 11, 42 1, 44 7, 47 9, 48 70, 50 25, 52 54, 54 9, 56 40, 58 3, 60 36, 62 1, 64 40, 66 24, 68 35, 70 20, 72 60, 74 4
T5: 1 35, 3 20, 5 30, 7 9, 9 14, 11 5, 13 4, 15 6, 17 3, 19 21, 21 10, 23 20, 25 5, 27 6, 29 20, 31 27, 34 6, 36 2, 38 8, 40 44, 42 5, 44 3, 46 9, 48 42, 51 8, 52 24, 54 3, 56 28, 58 5, 60 12, 62 3, 64 40, 66 12, 68 21, 70 4, 72 12, 74 10
T6: 1 63, 3 36, 5 3, 7 9, 9 12, 11 45, 13 5, 15 21, 17 9, 19 9, 21 8, 23 45, 25 7, 27 14, 29 12, 31 24, 34 30, 36 9, 38 5, 40 33, 42 9, 44 1, 46 8, 48 63, 51 8, 52 42, 54 1, 56 12, 58 10, 60 24, 63 12, 64 12, 66 12, 68 70, 70 20, 72 60, 74 8
T7: 1 7, 3 28, 5 12, 7 30, 9 18, 11 5, 13 9, 15 18, 17 21, 20 6, 21 6, 23 50, 25 3, 27 20, 29 24, 31 9, 34 12, 36 3, 38 9, 40 77, 42 3, 44 8, 47 9, 48 35, 51 6, 52 30, 54 5, 56 4, 58 10, 60 4, 62 1, 64 20, 66 32, 68 63, 70 6, 72 48, 74 9
T8: 1 49, 3 24, 5 18, 7 15, 9 16, 12 12, 13 5, 15 3, 17 3, 19 3, 21 6, 24 16, 25 3, 27 16, 29 28, 31 12, 34 6, 36 6, 38 2, 40 55, 42 2, 44 6, 46 6, 48 56, 50 35, 52 30, 54 7, 56 8, 58 3, 60 36, 62 9, 64 16, 66 12, 68 70, 70 4, 72 54, 74 9
T9: 1 56, 3 32, 5 12, 7 6, 9 14, 11 30, 13 6, 15 3, 17 12, 19 18, 21 6, 24 20, 25 7, 27 10, 29 8, 31 3, 34 54, 36 2, 38 8, 40 66, 42 2, 44 6, 46 8, 48 35, 50 40, 52 24, 54 1, 56 4, 58 2, 60 28, 62 9, 65 27, 66 4, 68 42, 70 10, 72 18, 74 2
T10: 1 49, 3 20, 5 18, 7 18, 9 20, 11 30, 13 2, 16 21, 17 9, 19 21, 21 8, 24 12, 25 1, 27 18, 29 28, 31 30, 34 12, 36 7, 38 4, 40 99, 42 7, 44 9, 46 10, 48 7, 50 25, 52 24, 54 1, 56 8, 58 1, 60 24, 62 4, 64 24, 66 36, 68 21, 70 12, 72 24, 74 3
T11: 1 63, 3 24, 5 30, 7 30, 9 16, 12 16, 13 6, 16 3, 17 3, 19 3, 21 10, 24 10, 25 3, 27 8, 29 4, 31 6, 34 24, 36 4, 38 6, 40 55, 42 3, 44 3, 46 3, 48 35, 50 5, 52 18, 54 10, 56 8, 58 10, 60 4, 62 3, 64 40, 66 28, 68 35, 70 18, 72 54, 74 1
